State,code,District,code
Andaman & Nicobar Islands,35,Nicobars,1
,,North & Middle Andaman,2
,,South Andaman,3
Andhra Pradesh,28,Srikakulam,1
,,Vizianagaram,2
,,Visakhapatnam,3
,,East Godavari,4
,,West Godavari,5
,,Krishna,6
,,Guntur,7
,,Prakasam,8
,,Sri Potti Sriramulu Nellore,9
,,Y.S.R. (Cuddapah),10
,,Kurnool,11
,,Anantapur,12
,,Chittoor,13
Arunachal Pradesh,12,Tawang,1
,,West Kameng,2
,,East Kameng,3
,,Papum Pare,4
,,Upper Subansiri,5
,,West Siang,6
,,East Siang,7
,,Upper Siang,8
,,Changlang,9
,,Tirap,10
,,Lower Subansiri,11
,,Kurung Kumey,12
,,Dibang Valley,13
,,Lower Dibang Valley,14
,,Lohit,15
,,Anjaw,16
Assam,18,Lakhimpur,8
,,Dhemaji,9
,,Tinsukia,10
,,Dibrugarh,11
,,Sivasagar,12
,,Jorhat,13
,,Golaghat,14
,,Kokrajhar,1
,,Dhubri,2
,,Goalpara,3
,,Barpeta,4
,,Bongaigaon,20
,,Chirang,21
,,Kamrup,22
,,Kamrup Metropolitan,23
,,Nalbari,24
,,Baksa,25
,,Karbi Anglong,15
,,Dima Hasao,16
,,Cachar,17
,,Karimganj,18
,,Hailakandi,19
,,Morigaon,5
,,Nagaon,6
,,Sonitpur,7
,,Darrang,26
,,Udalguri,27
Bihar,10,Pashchim Champaran,1
,,Purba Champaran,2
,,Sheohar,3
,,Sitamarhi,4
,,Madhubani,5
,,Supaul,6
,,Araria,7
,,Kishanganj,8
,,Purnia,9
,,Katihar,10
,,Madhepura,11
,,Saharsa,12
,,Darbhanga,13
,,Muzaffarpur,14
,,Gopalganj,15
,,Siwan,16
,,Saran,17
,,Vaishali,18
,,Samastipur,19
,,Begusarai,20
,,Khagaria,21
,,Bhagalpur,22
,,Banka,23
,,Munger,24
,,Lakhisarai,25
,,Sheikhpura,26
,,Nalanda,27
,,Patna,28
,,Bhojpur,29
,,Buxar,30
,,Kaimur (Bhabua),31
,,Rohtas,32
,,Aurangabad,33
,,Gaya,34
,,Nawada,35
,,Jamui,36
,,Jehanabad,37
,,Arwal,38
Chandigarh,4,Chandigarh,1
Chhattisgarh,22,Koriya,1
,,Surguja,2
,,Surajpur,26
,,Balrampur,27
,,Jashpur,3
,,Raigarh,4
,,Korba,5
,,Janjgir-Champa,6
,,Bilaspur,7
,,Kabeerdham,8
,,Rajnandgaon,9
,,Durg,10
,,Raipur,11
,,Mahasamund,12
,,Dhamtari,13
,,Balodabazar,19
,,Gariyaband,20
,,Bemetara,23
,,Balod,24
,,Mungeli,25
,,Uttar Bastar Kanker,14
,,Bastar,15
,,Narayanpur,16
,,Dakshin Bastar Dantewada,17
,,Bijapur,18
,,Kondagaon,21
,,Sukama,22
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1
Daman & Diu,25,Diu,1
,,Daman,2
Delhi,7,North West,1
,,North,2
,,North East,3
,,East,4
,,New Delhi,5
,,Central,6
,,West,7
,,South West,8
,,South,9
Goa,30,North Goa,1
,,South Goa,2
Gujarat,24,Panch Mahals,17
,,Dohad,18
,,Vadodara,19
,,Narmada,20
,,Bharuch,21
,,The Dangs,22
,,Navsari,23
,,Valsad,24
,,Surat,25
,,Tapi,26
,,Chhota Udepur,29
,,Mahisagar,32
,,Mahesana,4
,,Sabar Kantha,5
,,Gandhinagar,6
,,Ahmadabad,7
,,Anand,16
,,Kheda,17
,,Arvalli,27
,,Banas Kantha,2
,,Patan,3
,,Kachchh,1
,,Surendranagar,8
,,Rajkot,9
,,Jamnagar,10
,,Porbandar,11
,,Junagadh,12
,,Amreli,13
,,Bhavnagar,14
,,Botad,28
,,Dev Bhumi-Dwarka,30
,,Gir Somnath,31
,,Morbi,33
Haryana,6,Panchkula,1
,,Ambala,2
,,Yamunanagar,3
,,Kurukshetra,4
,,Kaithal,5
,,Karnal,6
,,Panipat,7
,,Sonipat,8
,,Rohtak,14
,,Jhajjar,15
,,Gurgaon,18
,,Mewat,19
,,Faridabad,20
,,Palwal,21
,,Jind,9
,,Fatehabad,10
,,Sirsa,11
,,Hisar,12
,,Bhiwani,13
,,Mahendragarh,16
,,Rewari,17
Himachal Pradesh,2,Kangra,2
,,Kullu,4
,,Mandi,5
,,Hamirpur,6
,,Una,7
,,Chamba,1
,,Lahul & Spiti,3
,,Bilaspur,8
,,Solan,9
,,Sirmaur,10
,,Shimla,11
,,Kinnaur,12
Jammu & Kashmir,1,Kathua,7
,,Jammu,21
,,Samba,22
,,Punch,5
,,Rajouri,6
,,Doda,16
,,Ramban,17
,,Kishtwar,18
,,Udhampur,19
,,Reasi,20
,,Kupwara,2
,,Badgam,3
,,Baramula,8
,,Bandipore,9
,,Srinagar,10
,,Ganderbal,11
,,Pulwama,12
,,Shupiyan,13
,,Anantnag,14
,,Kulgam,15
,,Leh,3
,,Kargil,4
Jharkhand,20,Garhwa,1
,,Lohardaga,11
,,Purbi Singhbhum,12
,,Palamu,13
,,Latehar,14
,,Ranchi,19
,,Khunti,20
,,Gumla,21
,,Simdega,22
,,Pashchimi Singhbhum,23
,,Saraikela-Kharsawan,24
,,Chatra,2
,,Kodarma,3
,,Giridih,4
,,Deoghar,5
,,Godda,6
,,Sahibganj,7
,,Pakur,8
,,Dhanbad,9
,,Bokaro,10
,,Hazaribagh,15
,,Ramgarh,16
,,Dumka,17
,,Jamtara,18
Karnataka,29,Uttara Kannada,9
,,Udupi,15
,,Dakshina Kannada,21
,,Shimoga,14
,,Chikmagalur,16
,,Hassan,20
,,Kodagu,22
,,Tumkur,17
,,Bangalore,18
,,Mandya,19
,,Mysore,23
,,Chamarajanagar,24
,,Kolar,27
,,Chikkaballapura,28
,,Bangalore Rural,29
,,Ramanagara,30
,,Belgaum,1
,,Bagalkot,2
,,Bijapur,3
,,Bidar,4
,,Raichur,5
,,Koppal,6
,,Gadag,7
